sequence,period_id,period_order,period_title,date_original,battle_title,source_url,source_note,reliability,raw_text
1103,northern_song,13,北宋（960－1127）,979年－1004年,宋辽战争 （ 边关地道遗址 ）,https://zh.wikipedia.org/wiki/%E5%AE%8B%E8%BE%BD%E6%88%98%E4%BA%89,,未分级,宋辽战争 （ 边关地道遗址 ） 979年－1004年
1104,northern_song,13,北宋（960－1127）,979年,高梁河之战,https://zh.wikipedia.org/wiki/%E9%AB%98%E6%A2%81%E6%B2%B3%E4%B9%8B%E6%88%98,,未分级,高梁河之战 979年
1105,northern_song,13,北宋（960－1127）,979年,满城之战,https://zh.wikipedia.org/wiki/%E6%BB%A1%E5%9F%8E%E4%B9%8B%E6%88%98,,未分级,满城之战 979年
1106,northern_song,13,北宋（960－1127）,980年,雁门之战,https://zh.wikipedia.org/wiki/%E9%9B%81%E9%97%A8%E4%B9%8B%E6%88%98,,未分级,雁门之战 980年
1107,northern_song,13,北宋（960－1127）,980年,瓦桥关之战,https://zh.wikipedia.org/wiki/%E7%93%A6%E6%A1%A5%E5%85%B3%E4%B9%8B%E6%88%98,,未分级,瓦桥关之战 980年
1108,northern_song,13,北宋（960－1127）,981年,白藤江之战 (981年),https://zh.wikipedia.org/wiki/%E7%99%BD%E8%97%A4%E6%B1%9F%E4%B9%8B%E6%88%98_(981%E5%B9%B4),,未分级,白藤江之战 (981年) 981年
1109,northern_song,13,北宋（960－1127）,982年－1127年,宋夏战争,https://zh.wikipedia.org/wiki/%E5%AE%8B%E5%A4%8F%E6%88%98%E4%BA%89,,未分级,宋夏战争 982年－1127年
1110,northern_song,13,北宋（960－1127）,986年,岐沟关之战,https://zh.wikipedia.org/wiki/%E5%B2%90%E6%B2%9F%E5%85%B3%E4%B9%8B%E6%88%98,,未分级,岐沟关之战 986年
1111,northern_song,13,北宋（960－1127）,986年冬,君子馆之战,https://zh.wikipedia.org/wiki/%E5%90%9B%E5%AD%90%E9%A6%86%E4%B9%8B%E6%88%98,,未分级,君子馆之战 986年冬
1112,northern_song,13,北宋（960－1127）,986年,代州之战,https://zh.wikipedia.org/wiki/%E4%BB%A3%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,代州之战 986年
1113,northern_song,13,北宋（960－1127）,989年,徐河之战,https://zh.wikipedia.org/wiki/%E5%BE%90%E6%B2%B3%E4%B9%8B%E6%88%98,,未分级,徐河之战 989年
1114,northern_song,13,北宋（960－1127）,993年－996年,王小波、李顺起义,https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%B0%8F%E6%B3%A2%E3%80%81%E6%9D%8E%E9%A1%BA%E8%B5%B7%E4%B9%89,,未分级,王小波、李顺起义 993年－996年
1115,northern_song,13,北宋（960－1127）,999年－1000年,河北之战,https://zh.wikipedia.org/wiki/%E6%B2%B3%E5%8C%97%E4%B9%8B%E6%88%98,,未分级,河北之战 999年－1000年
1116,northern_song,13,北宋（960－1127）,1004年,澶州之战,https://zh.wikipedia.org/wiki/%E6%BE%B6%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,澶州之战 1004年
1117,northern_song,13,北宋（960－1127）,993年－1019年,高丽契丹战争 ( 1 、 2 、 3 ),https://zh.wikipedia.org/wiki/%E9%AB%98%E4%B8%BD%E5%A5%91%E4%B8%B9%E6%88%98%E4%BA%89,,未分级,高丽契丹战争 ( 1 、 2 、 3 ) 993年－1019年
1118,northern_song,13,北宋（960－1127）,1019年,龟州大捷,https://zh.wikipedia.org/wiki/%E9%BE%9C%E5%B7%9E%E5%A4%A7%E6%8D%B7,,未分级,龟州大捷 1019年
1119,northern_song,13,北宋（960－1127）,1035年,鄯州之战,https://zh.wikipedia.org/wiki/%E9%84%AF%E5%B7%9E%E4%B9%8B%E6%88%98,,未分级,鄯州之战 1035年
1120,northern_song,13,北宋（960－1127）,1038年,宋夏战争,https://zh.wikipedia.org/wiki/%E5%AE%8B%E5%A4%8F%E6%88%98%E4%BA%89,,未分级,宋夏战争 1038年
1121,northern_song,13,北宋（960－1127）,1040年,延州之战,https://zh.wikipedia.org/wiki/%E4%B8%89%E5%B7%9D%E5%8F%A3%E4%B9%8B%E6%88%B0,,未分级,延州之战 1040年
1122,northern_song,13,北宋（960－1127）,1041年,好水川之战,https://zh.wikipedia.org/wiki/%E5%A5%BD%E6%B0%B4%E5%B7%9D%E4%B9%8B%E6%88%B0,,未分级,好水川之战 1041年
